date,location,type
10/08/2021,"Salaban 1, Salaban 2, Salaban San Jose",IEC
12/01/2022,Brgy. San Agustin going to Brgy. Lucsuhin,IEC
21/01/2022,"Salaban to Bulsukan, Rehabilitation Center, Globe Tower Malainin.",IEC
04/03/2022,"Pangao, Matala, San Agustin, Munting Tubig, Sta. Margarita",IEC
16/03/2022,Brgy. Matala (Ilaya),IEC
22/03/2022,"Brgy. Panghayaan, Brgy. Mabalor",IEC
08/04/2022,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC
02/05/2022,"Brgy. Bago (Salong), Brgy. Quilo",IEC
04/05/2022,"Brgy. Tulay, Brgy. Calamias",IEC
21/05/2022,Brgy. Bungahan,IEC
24/08/2022,Brgy. Salaban San Jose,IEC
21/09/2022,"Brgy. Adya, Part of Sto.Nino, Jaime Junsay, Justino Del Rosario",IEC
27/09/2022,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC
04/10/2022,Part of Pangao (from Zalomar to Pateña Fuel),IEC
05/10/2022,"Brgy. Bago (Salong), Brgy. Quilo",IEC
25/10/2022,"Part of Malainin, Likod ng School, Malainin Rehab Center",IEC
04/11/2022,Part of Brgy. Lucsuhin (Sitio Iraq),IEC
09/11/2022,Part of Brgy. Pangao (from Brgy. Hall to Great Taste Lomi House),IEC
18/11/2022,Part of Brgy. Malainin (from Sabungan to Bulsukan),IEC
21/11/2022,Part of Brgy.Lapu-Lapu from Boundary of Palindan & Lapu-Lapu - Chua Warehouse,IEC
22/11/2022,"Part of Brgy.Lapu-Lapu, from Caringal Residence - River Side Lomi House",IEC
05/12/2022,Part of Salaban 2 (from Nelson De Torres House - kanto ng Salaban San Jose (Luma) ),IEC
06/12/2022,"1. Part of Brgy. Calamias (Kanto ng Boundary Calamias/Tulay, Tulay Elementary School to Belinda Roberta) 2. Part of Brgy. Palindan (Palindan Basketball Court, from House of Banawa Ruben to Samson Joselito)",IEC
07/12/2022,"Part of Poblacion & Coliat from Legislative Building, Police Station to Pereña Guadalupe  (Highway, Right and Left Side)",IEC
16/12/2022,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC
16/12/2022,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC
17/01/2023,Part of Brgy. Munting Tubig (From School to ACDI),IEC
10/02/2023,"Part of Brgy. Quilo, Quilo Burol",IEC
13/02/2023,"Part of Pangao, from Manguiat Pascual - Reña Gabia, Toreja Clinic.",IEC
22/02/2023,Brgy. Lucsuhin,IEC
14/03/2023,Part of Brgy. Matala (Sitio Ibaba),IEC
15/03/2023,"Brgy. Catandala, Brgy. Mabalor, Brgy. Panghayaan",IEC
01/04/2023,Part of Brgy. Palindan (from tapat ng School to Luis Go),IEC
20/04/2023,Brgy. Bungahan,IEC
20/04/2023,"Feeder 4, Brgy. Lapu-Lapu, Brgy. Malainin, Brgy. Salaban, Brgy. Salaban (San Jose)",IEC
05/05/2023,From kanto of Brgy. San Agustin to Brgy. Munting Tubig,IEC
25/05/2023,Part of Poblacion Alicague - Manny Claveria House Balanga Terminal - Ibaan Lending Balanga Terminal - St. James Village,IEC
26/05/2023,Part of Brgy. Bago (Likod ng Villafranca),IEC
31/05/2023,"Part of Brgy. Balanga (Bonete way to Dayapan), Brgy. Dayapan, Brgy. Lucsuhin",IEC
09/06/2023,Part of Brgy. Bago (Patalay Compound to Valfre Tabian),IEC
15/06/2023,"Feeder 2 & Feeder 3 Poblacion, Pangao, Matala, San Agustin, Munting Tubig, Coliat, Bago, Sabang, Quilo, Part of Palindan, Bungahan, Talaibon, Sandalan, Balanga, Dayapan, Lucushin, Catandala, Mabalor, Panghayaan.",IEC
19/06/2023,"Part of Brgy. Balanga (Bonete way to Dayapan), Brgy. Dayapan, Brgy. Lucsuhin",IEC
22/06/2023,Part of Brgy. San Agustin (way to Brooklyn),IEC
05/07/2023,Part of Brgy. Tulay (Tulay Silangan),IEC
08/07/2023,"Part of Brgy. Poblacion (Rephil Edsa Fuel Station - Mago Apartment, Ibaan Central School.",IEC
13/07/2023,Part of Brgy. Pangao (Ilaya & Ibaba),IEC
19/07/2023,Part of Brgy. Sabang (Sierra Hills),IEC
28/07/2023,Part of Brgy. Matala (Matala Ilaya),IEC
08/08/2023,"Brgy. Quilo, Part of Brgy. Bago (Villa Franca Resort, Bago Salong)",IEC
11/08/2023,Part of Brgy. Talaibon (way to Maranatha),IEC
18/08/2023,Brgy. Salaban San Jose,IEC
08/09/2023,Part of Brgy. Calamias (Tulay Elementary School – Monterey Calamias),IEC
13/09/2023,Part of Brgy. Bago (Sitio Kabila),IEC
15/09/2023,"Part of Brgy. Balanga, Dayapan, Lucsuhin",IEC
29/09/2023,Part of Brgy. Quilo (Quilo Burol),IEC
07/10/2023,Part of Brgy. Pangao (St. James Village),IEC
08/11/2023,"Part of Brgy. Coliat ( from Funeral Service to Shepered’s Events Place, going to Spill Way)",IEC
