date,location,type
2021-08-10,"Salaban 1, Salaban 2, Salaban San Jose",IEC
2022-01-12,Brgy. San Agustin going to Brgy. Lucsuhin,IEC
2022-01-21,"Salaban to Bulsukan, Rehabilitation Center, Globe Tower Malainin.",IEC
2022-03-04,"Pangao, Matala, San Agustin, Munting Tubig, Sta. Margarita",IEC
2022-03-16,Brgy. Matala (Ilaya),IEC
2022-03-22,"Brgy. Panghayaan, Brgy. Mabalor",IEC
2022-04-08,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC
2022-05-02,"Brgy. Bago (Salong), Brgy. Quilo",IEC
2022-05-04,"Brgy. Tulay, Brgy. Calamias",IEC
2022-05-21,Brgy. Bungahan,IEC
2022-08-24,Brgy. Salaban San Jose,IEC
2022-09-21,"Brgy. Adya, Part of Sto.Nino, Jaime Junsay, Justino Del Rosario",IEC
2022-09-27,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC
2022-10-04,Part of Pangao (from Zalomar to Pateña Fuel),IEC
2022-10-05,"Brgy. Bago (Salong), Brgy. Quilo",IEC
2022-10-25,"Part of Malainin, Likod ng School, Malainin Rehab Center",IEC
2022-11-04,Part of Brgy. Lucsuhin (Sitio Iraq),IEC
2022-11-09,Part of Brgy. Pangao (from Brgy. Hall to Great Taste Lomi House),IEC
2022-11-18,Part of Brgy. Malainin (from Sabungan to Bulsukan),IEC
2022-11-21,Part of Brgy.Lapu-Lapu from Boundary of Palindan & Lapu-Lapu - Chua Warehouse,IEC
2022-11-22,"Part of Brgy.Lapu-Lapu, from Caringal Residence - River Side Lomi House",IEC
2022-12-05,Part of Salaban 2 (from Nelson De Torres House - kanto ng Salaban San Jose (Luma) ),IEC
2022-12-06,"1. Part of Brgy. Calamias (Kanto ng Boundary Calamias/Tulay, Tulay Elementary School to Belinda Roberta) 2. Part of Brgy. Palindan (Palindan Basketball Court, from House of Banawa Ruben to Samson Joselito)",IEC
2022-12-07,"Part of Poblacion & Coliat from Legislative Building, Police Station to Pereña Guadalupe  (Highway, Right and Left Side)",IEC
2022-12-16,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC
2022-12-16,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC
2023-01-17,Part of Brgy. Munting Tubig (From School to ACDI),IEC
2023-02-10,"Part of Brgy. Quilo, Quilo Burol",IEC
2023-02-13,"Part of Pangao, from Manguiat Pascual - Reña Gabia, Toreja Clinic.",IEC
2023-02-22,Brgy. Lucsuhin,IEC
2023-03-14,Part of Brgy. Matala (Sitio Ibaba),IEC
