date,location,type,class
8/10/2021,"Salaban 1, Salaban 2, Salaban San Jose",IEC,Public
1/12/2022,Brgy. San Agustin going to Brgy. Lucsuhin,IEC,Public
1/21/2022,"Salaban to Bulsukan, Rehabilitation Center, Globe Tower Malainin.",IEC,Public
3/4/2022,"Pangao, Matala, San Agustin, Munting Tubig, Sta. Margarita",IEC,Public
3/16/2022,Brgy. Matala (Ilaya),IEC,Public
3/22/2022,"Brgy. Panghayaan, Brgy. Mabalor",IEC,Public
4/8/2022,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC,Public
5/2/2022,"Brgy. Bago (Salong), Brgy. Quilo",IEC,Public
5/4/2022,"Brgy. Tulay, Brgy. Calamias",IEC,Public
5/21/2022,Brgy. Bungahan,IEC,Public
8/24/2022,Brgy. Salaban San Jose,IEC,Public
9/21/2022,"Brgy. Adya, Part of Sto.Nino, Jaime Junsay, Justino Del Rosario",IEC,Public
9/27/2022,"Brgy. Dayapan, Brgy. Lucsuhin, Part of Balanga",IEC,Public
10/4/2022,Part of Pangao (from Zalomar to Pateña Fuel),IEC,Public
10/5/2022,"Brgy. Bago (Salong), Brgy. Quilo",IEC,Public
10/25/2022,"Part of Malainin, Likod ng School, Malainin Rehab Center",IEC,Public
11/4/2022,Part of Brgy. Lucsuhin (Sitio Iraq),IEC,Public
11/9/2022,Part of Brgy. Pangao (from Brgy. Hall to Great Taste Lomi House),IEC,Public
11/18/2022,Part of Brgy. Malainin (from Sabungan to Bulsukan),IEC,Public
11/21/2022,Part of Brgy.Lapu-Lapu from Boundary of Palindan & Lapu-Lapu - Chua Warehouse,IEC,Public
11/22/2022,"Part of Brgy.Lapu-Lapu, from Caringal Residence - River Side Lomi House",IEC,Public
12/5/2022,Part of Salaban 2 (from Nelson De Torres House - kanto ng Salaban San Jose (Luma) ),IEC,Public
12/6/2022,"1. Part of Brgy. Calamias (Kanto ng Boundary Calamias/Tulay, Tulay Elementary School to Belinda Roberta) 2. Part of Brgy. Palindan (Palindan Basketball Court, from House of Banawa Ruben to Samson Joselito)",IEC,Public
12/7/2022,"Part of Poblacion & Coliat from Legislative Building, Police Station to Pereña Guadalupe  (Highway, Right and Left Side)",IEC,Public
12/16/2022,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC,Public
12/16/2022,"Part of Brgy. Quilo, Quilo Ibaba - from School to Roman Dimaano",IEC,Public
1/17/2023,Part of Brgy. Munting Tubig (From School to ACDI),IEC,Public
2/10/2023,"Part of Brgy. Quilo, Quilo Burol",IEC,Public
2/13/2023,"Part of Pangao, from Manguiat Pascual - Reña Gabia, Toreja Clinic.",IEC,Public
2/22/2023,Brgy. Lucsuhin,IEC,Public
3/14/2023,Part of Brgy. Matala (Sitio Ibaba),IEC,Public
3/15/2023,"Brgy. Catandala, Brgy. Mabalor, Brgy. Panghayaan",IEC,Public
4/1/2023,Part of Brgy. Palindan (from tapat ng School to Luis Go),IEC,Public
4/20/2023,Brgy. Bungahan,IEC,Public
4/20/2023,"Feeder 4, Brgy. Lapu-Lapu, Brgy. Malainin, Brgy. Salaban, Brgy. Salaban (San Jose)",IEC,Public
5/5/2023,From kanto of Brgy. San Agustin to Brgy. Munting Tubig,IEC,Public
5/25/2023,Part of Poblacion Alicague - Manny Claveria House Balanga Terminal - Ibaan Lending Balanga Terminal - St. James Village,IEC,Public
5/26/2023,Part of Brgy. Bago (Likod ng Villafranca),IEC,Public
5/31/2023,"Part of Brgy. Balanga (Bonete way to Dayapan), Brgy. Dayapan, Brgy. Lucsuhin",IEC,Public
6/9/2023,Part of Brgy. Bago (Patalay Compound to Valfre Tabian),IEC,Public
6/15/2023,"Feeder 2 & Feeder 3 Poblacion, Pangao, Matala, San Agustin, Munting Tubig, Coliat, Bago, Sabang, Quilo, Part of Palindan, Bungahan, Talaibon, Sandalan, Balanga, Dayapan, Lucushin, Catandala, Mabalor, Panghayaan.",IEC,Public
6/19/2023,"Part of Brgy. Balanga (Bonete way to Dayapan), Brgy. Dayapan, Brgy. Lucsuhin",IEC,Public
6/22/2023,Part of Brgy. San Agustin (way to Brooklyn),IEC,Public
7/5/2023,Part of Brgy. Tulay (Tulay Silangan),IEC,Public
7/8/2023,"Part of Brgy. Poblacion (Rephil Edsa Fuel Station - Mago Apartment, Ibaan Central School.",IEC,Public
7/13/2023,Part of Brgy. Pangao (Ilaya & Ibaba),IEC,Public
7/19/2023,Part of Brgy. Sabang (Sierra Hills),IEC,Public
7/28/2023,Part of Brgy. Matala (Matala Ilaya),IEC,Public
8/8/2023,"Brgy. Quilo, Part of Brgy. Bago (Villa Franca Resort, Bago Salong)",IEC,Public
8/11/2023,Part of Brgy. Talaibon (way to Maranatha),IEC,Public
8/18/2023,Brgy. Salaban San Jose,IEC,Public
9/8/2023,Part of Brgy. Calamias (Tulay Elementary School – Monterey Calamias),IEC,Public
9/13/2023,Part of Brgy. Bago (Sitio Kabila),IEC,Public
9/15/2023,"Part of Brgy. Balanga, Dayapan, Lucsuhin",IEC,Public
9/29/2023,Part of Brgy. Quilo (Quilo Burol),IEC,Public
10/7/2023,Part of Brgy. Pangao (St. James Village),IEC,Public
11/8/2023,"Part of Brgy. Coliat ( from Funeral Service to Shepered’s Events Place, going to Spill Way)",IEC,Public
11/14/2023,Part of Brgy. Coliat (Lotto Outlet - Noli Surplus),IEC,Public
11/21/2023,Part of Brgy. Matala Ilaya (from dating Vice Rosal – Dulo),IEC,Public
11/23/2023,Part of Brgy. Sto. Niño (from Sitio Pulong Ibaba - Guadalupe) and Brgy. Adya.,IEC,Public
12/7/2023,Part of Brgy. Poblacion (De Chavez Pharmacy - Pateña Hardware,IEC,Public
12/13/2023,Part of Brgy. Pangao (Sitio Ilaya),IEC,Public
12/20/2023,Part of Brgy. Matala (Highway) Alfamart - Boundary of Matala & San Agustin,IEC,Public
1/25/2024,Part of Brgy. Bago (Danilo Andal - 7am Store,IEC,Public
1/26/2024,Part of Brgy. Talaibon (Don Pedro Subd. near MHO),IEC,Public
2/7/2024,Part of Brgy. Quilo (Sitio Ibaba),IEC,Public
2/14/2024,Part of Brgy. Salaban 1 (Sitio Bulsukan),IEC,Public
2/15/2024,Part of Brgy. Lucsuhin (Sitio Calalumpang),IEC,Public
2/21/2024,Part of Brgy. Sto.Niño (Near Wilson Choi Communal Transformer to Ibaba Chapel),IEC,Public
2/22/2024,Part of Brgy. Bago (Lotto Outlet - Basketball Court),IEC,Public
2/24/2024,Part of Lapu-Lapu (Sitio Malacañang),IEC,Public
2/25/2024,"Feeder 3 Part of Poblacion Pangao Matala San Agustin Munting Tubig, (Sta.Margarita) Sandalan Balanga Dayapan Lucsuhin Catandala Mabalor Panghayaan",IEC,Public
2/26/2024,"Tulay, Calamias",IEC,Public
3/8/2024,Part of Brgy. Bungahan (Chapel - Dulo),IEC,Public
3/13/2024,Part of Brgy. Sabang (Bukana - Ex. Kapitan N. Papio),IEC,Public
3/21/2024,Part of Brgy. Sabang (School - Uno Fuel),IEC,Public
7/13/2022,Brgy. Camunatan,ISELCOII,Public
7/13/2022,Brgy. Bagumbayan,ISELCOII,Public
7/13/2022,Brgy. Baculud,ISELCOII,Public
7/13/2022,Brgy. Centro,ISELCOII,Public
7/13/2022,Brgy. Baculud,ISELCOII,Public
7/13/2022,Brgy. Sto. Tomas,ISELCOII,Public
7/13/2022,Brgy. Guinatan,ISELCOII,Public
7/13/2022,Brgy. Osmeña,ISELCOII,Public
7/13/2022,• Parts of City of Ilagan,ISELCOII,Public
9/8/2022," Parts of Municipality of Roxas, Mallig, and Quezon, Isabela",ISELCOII,Public
9/17/2022, Isabela,ISELCOII,Public
9/17/2022, Isabela Municipality of Quezon,ISELCOII,Public
9/17/2022,Municipality of Mallig,ISELCOII,Public
11/22/2022," Parts of Municipality of Burgos, Isabela. Caliguian (Pob) Cullalabo Del Norte Cullalabo Del Sur Malasin Masigun San Antonino",ISELCOII,Public
11/22/2022," Parts of Municipality of Roxas, Isabela. Anao Doña Concha Imbiao Lanting Lucban Luna Masigun Muñoz East Muñoz West Quiling Rang-ayan Rizal San Jose San Pedro San Placido San Luis San Maros Sinamar Villa Concepcion Vira  ",ISELCOII,Public
11/22/2022,Municipality of: Mallig Quezon Quirino  ,ISELCOII,Public
11/24/2022,Parts of Municipality of Cabagan Pilig Abajo  Pilig Alto,ISELCOII,Public
11/24/2022,Parts of Municipality of Tumauini Annafunan   Antagan I  Antagan II  Banig  Caligayan  Camasi  Carpentero  Compania  Cumabao  District 1 ( Pob.)  District 2 ( Pob.)  District 3 ( Pob.)  District 4 ( Pob.)  Fermeldy  Fugu Abajo  Fugu Norte  Fugu Sur  Lanna  Lingaling  Maggayu  Malamag East  Malamag West  Moldero  Minanga  Namnama  San Mateo  San Pedro  San Vicente  Santa  Santa Catalina  Santa niño  Sinippil  Tunggui  Ugad  ,ISELCOII,Public
12/5/2022,Municipality of: Naguilian Benito Soliven San Mariano,ISELCOII,Public
12/9/2022, Parts of Municipality of Roxas Anao Doña Concha Imbiao Muñoz East Muñoz West Quiling San Maros San Pedro San Placido Sinamar Villa Concepcion,ISELCOII,Public
12/9/2022, Municipality of: Mallig Quezon Quirino  ,ISELCOII,Public
12/18/2022, Parts of Municipality of Roxas Anao Doña Concha Imbiao Muñoz East Muñoz West Quiling San Maros San Pedro San Placido Sinamar Villa Concepcion,ISELCOII,Public
12/18/2022, Municipality of: Mallig Quezon Quirino ,ISELCOII,Public
